"CUSTOMER_ID","ACQUISITION_TYPE","REFERENCE_ID","PHONE_NUMBER","CUSTOMER_GENDER","DATE_OF_BIRTH","FIRST_NAME","LAST_NAME","CUSTOMER_EMAIL","POST_CODE","HOUSE_NUMBER","AD_ID"
"C101","Paid","","4167451745","Female","1980-04-04"," Quaton","Thomas","quaton_thomas@outlook.com","LS18 5RR","39","AD1020"
"C102","Paid","","9893425638","Male","1980-07-14"," Neshea","Tefera","neshea_tefera@yahoo.com","RH6 0GZ","37","AD1026"
"C103","Paid","","9120399132","Female","1993-11-30"," Melissa","Norvell","melissa_norvell@gmail.com","SN4 9PL","24","AD1018"
"C104","Paid","","6472615772","Female","1993-10-27"," Cheyenne","Barnes","cheyenne_barnes@yahoo.com","HP6 5LU","45","AD1029"
"C105","Organic","","7758786155","Male","2006-07-11"," Trevas","Maxey-Bell","trevas_maxey-bell@gmail.com","ST14 7TA","26",""
"C106","Organic","","3014585174","Male","1996-04-05"," Sharon","Mandakh","sharon_mandakh@gmail.com","G32 6JN","26",""
"C107","Organic","","6040723698","Male","1993-05-25"," Colten","Townsend","colten_townsend@gmail.com","SS7 5NU","24",""
"C108","Paid","","3396220109","Female","1994-01-16"," Yuvann","Crummett","yuvann_crummett@yahoo.com","DG3 5HD","20","AD1034"
"C109","Organic","","3620123447","Female","1991-09-25"," Earl Henry","Lewis","earlhenry_lewis@hotmail.com","RH10 1SN","24",""
"C110","Organic","","4122696546","Male","1998-05-17"," Royce","Osby","royce_osby@outlook.com","DL16 6LQ","49",""
"C111","Organic","","4901145994","Female","2006-09-23"," Dennis","Wick","dennis_wick@outlook.com","LE67 4HF","9",""
"C112","Organic","","9648923863","Male","2003-10-23"," Trevas","Maxey-Bell","trevas_maxey-bell@hotmail.com","HX2 9HA","1",""
"C113","Paid","","2500028178","Male","1990-06-09"," Thaamira","el-Yasin","thaamira_el-yasin@yahoo.com","CF82 7QE","42","AD1045"
"C114","Paid","","1889734187","Male","1992-12-14"," Saahir","el-Jaber","saahir_el-jaber@yahoo.com","LA14 1DH","16","AD1003"
"C115","Organic","","3948085594","Female","1987-03-15"," Michael","Kagiyama","michael_kagiyama@hotmail.com","B79 7SG","25",""
"C116","Organic","","4149997819","Female","1988-07-27"," Valerie","Dauer","valerie_dauer@outlook.com","SN25 2SP","32",""
"C117","Referral","C107","1611531845","Male","1983-10-13"," Savannah","Tran","savannah_tran@yahoo.com","NG13 8ZQ","32",""
"C118","Paid","","6261405986","Male","2000-10-28"," Rashaad","el-Dajani","rashaad_el-dajani@gmail.com","DN9 1GZ","1","AD1040"
"C119","Organic","","6241804536","Female","1999-05-05"," Kenneth","Garcia Cerda","kenneth_garciacerda@hotmail.com","M16 0AT","21",""
"C120","Paid","","3200448946","Male","1984-09-06"," Samantha","Tyler","samantha_tyler@gmail.com","WN6 7HG","23","AD1013"
"C121","Organic","","4683287073","Female","1980-12-26"," Manulagaeu","Banchongchith","manulagaeu_banchongchith@hotmail.com","SR6 9LH","32",""
"C122","Organic","","7511245620","Female","1995-09-18"," Valerie","Dauer","valerie_dauer@outlook.com","WA6 8AL","31",""
"C123","Paid","","5216947138","Male","1997-11-04"," Thaamira","el-Yasin","thaamira_el-yasin@gmail.com","SW18 5SW","25","AD1011"
"C124","Organic","","9078102670","Female","1987-02-14"," Mushtaaq","el-Lodi","mushtaaq_el-lodi@yahoo.com","GU11 3SG","38",""
"C125","Paid","","4225165180","Female","1987-10-17"," Raihaan","el-Shaban","raihaan_el-shaban@yahoo.com","E20 1EN","20","AD1039"
"C126","Paid","","9113491717","Female","1985-03-15"," Daniel","Prevedel","daniel_prevedel@yahoo.com","LL13 9JX","32","AD1002"
"C127","Organic","","9184251505","Female","1994-06-01"," Darius","Trahan","darius_trahan@gmail.com","BH5 2JP","31",""
"C128","Paid","","5547804686","Male","1981-08-01"," Eric","Lucero","eric_lucero@hotmail.com","BN22 9QR","3","AD1008"
"C129","Paid","","9690702743","Female","1984-12-02"," Alegra","Salas","alegra_salas@hotmail.com","CM21 9AE","31","AD1010"
"C130","Referral","C126","4961878499","Male","1989-08-03"," Brittany","Pulliam","brittany_pulliam@outlook.com","BT16 1ZA","44",""
"C131","Organic","","1166665251","Male","2002-03-09"," Taylor","White","taylor_white@hotmail.com","WA9 1LZ","3",""
"C132","Referral","C124","8036091676","Female","1988-07-17"," Nasreen","el-Nazir","nasreen_el-nazir@gmail.com","NG17 9BJ","3",""
"C133","Organic","","5158581373","Female","1994-03-27"," Tayvon","Alsdorf-Gellineau","tayvon_alsdorf-gellineau@yahoo.com","DH1 3PN","24",""
"C134","Organic","","5568901029","Female","1988-03-18"," Michaela","Plenty Wolf","michaela_plentywolf@gmail.com","DT4 8AJ","34",""
"C135","Organic","","6409981617","Female","1992-02-09"," Tayvon","Alsdorf-Gellineau","tayvon_alsdorf-gellineau@gmail.com","NN12 8QR","46",""
"C136","Organic","","6156949269","Male","1997-03-30"," Miracle","Aragon","miracle_aragon@yahoo.com","G61 2PS","15",""
"C137","Paid","","5141498099","Male","1995-01-04"," Taaha","al-Zamani","taaha_al-zamani@outlook.com","EH48 2TQ","49","AD1004"
"C138","Paid","","2942300515","Male","1999-06-09"," Brittany","Pulliam","brittany_pulliam@yahoo.com","ML9 2BG","19","AD1028"
"C139","Referral","C138","9319884073","Female","1987-01-26"," Ambrosia","Sanchez","ambrosia_sanchez@yahoo.com","SW18 1UD","19",""
"C140","Organic","","5261015327","Female","1992-03-04"," Trevas","Maxey-Bell","trevas_maxey-bell@outlook.com","SA14 8EH","47",""
"C141","Paid","","1725759539","Male","1994-11-13"," Porvangchee","Nguyen","porvangchee_nguyen@yahoo.com","IG6 2JG","25","AD1046"
"C142","Organic","","7173590964","Male","2004-12-18"," Paul","Pena","paul_pena@hotmail.com","RG10 0JU","31",""
"C143","Organic","","3377790885","Male","1980-01-17"," Peter","Kanayama","peter_kanayama@yahoo.com","NG6 8SB","36",""
"C144","Paid","","1364711108","Male","2004-03-05"," Raychl","Rickman","raychl_rickman@gmail.com","SS2 4LP","36","AD1006"
"C145","Organic","","5667261055","Female","1992-01-29"," Peter","Kanayama","peter_kanayama@yahoo.com","N14 4PB","18",""
"C146","Paid","","9497170206","Female","2005-12-31"," Janessa","Fickas","janessa_fickas@yahoo.com","SA17 5YF","21","AD1009"
"C147","Organic","","9213270984","Male","1984-09-10"," Kiley","Martinez","kiley_martinez@hotmail.com","LN2 2HR","27",""
"C148","Organic","","7868775632","Male","1999-10-28"," Royce","Osby","royce_osby@hotmail.com","LL13 9AD","40",""
"C149","Organic","","5736141995","Female","2006-08-12"," Royce","Osby","royce_osby@gmail.com","RM2 6PR","17",""
"C150","Organic","","5783123070","Female","1988-01-26"," Alegra","Salas","alegra_salas@outlook.com","M30 8GR","32",""
